Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARNQ0056,,AABE - Centro Este Neuquen (Ejercito),Sargento Cabral esq. Irigoyen - NQN,NEUQUEN,NEUQUEN,NEUQUEN,-38.948611,-68.059167,D
ARNQ0057,,SANTA GENOVEVA - MTSO NEUQUEN,Av. Borlenghi 805 entre Alberti y Formosa - NQN,NEUQUEN,NEUQUEN,NEUQUEN,-38.946694,-68.03375,C
ARNQ0058,QC074,Aeropuerto NQN (TRANSENER),Ruta 22 -Ofic. Centrales Transener - Acceso Aeropuerto - NQN,NEUQUEN,NEUQUEN,NEUQUEN,-38.959,-68.144861,A
ARNQ0059,QC054,NEUQUEN CENTRO SUR,Fray Luis Beltrán 251-L,NEUQUEN,NEUQUEN,NEUQUEN,-38.962333,-68.062972,B
ARNQ0060,QC303,LA BARDA,ZONA BARDAS POR CALLE RODOLFO RIAVITZ,NEUQUEN,NEUQUEN,NEUQUEN,-38.926258,-68.06275,A
ARNQ0071,QC053,Repetidora Bardas,Rodolfo Riavitz y Jesus Maria,NEUQUEN,NEUQUEN,NEUQUEN,-38.937994,-68.063382,A
ARNQ0087,QC051,Parque Industrial,Calle Belenguer y Calle sin nombre - Parque Industrial - s/n°,NEUQUEN,NEUQUEN,NEUQUEN,-38.910333,-68.079167,B
ARNQ0146,QC374,Hostal del caminante (Neuquen 17),  Ruta nº22 y calle  Zabaleta s/nº 0 entre 0 y 0,NEUQUEN,COLONIA VALENTINA,NEUQUEN,-38.957,-68.168,C
ARNQ0167,QC213,LOCAL TOP NEUQUEN,Av. Argentina 368,NEUQUEN,NEUQUEN,NEUQUEN,-38.9511,-68.0596,D
ARNQ0171,QC348,Neuquen lagos(A),El Jarillal s/n entre Dr. Davia Abraham y Los Sugerentes,NEUQUEN,NEUQUEN,NEUQUEN,-38.937444,-68.101278,B
ARNQ0178,QC349,Neuquen noroeste(C),Necochea s/n entre Trebol y 0,NEUQUEN,NEUQUEN,NEUQUEN,-38.941167,-68.135361,A
ARNQ0188,QC149,Mudanza San Lorenzo(A),Concordia 0 entre Coronel Moritan Benjamin y Casilda,NEUQUEN,NEUQUEN,NEUQUEN,-38.9461,-68.113378,A
ARNQ0197,QC147,Moreno (TMA) - Mudanza QC047,Güemes s/n entre Verzegnassi y 0,NEUQUEN,NEUQUEN,NEUQUEN,-38.961111,-68.044,A
ARNQ0248,QE059,Plottier Este (TMA),Batilana 682 entre Santa Cruz y 0,PLOTTIER,PLOTTIER,NEUQUEN,-38.9626,-68.242828,C
ARNQ0251,QC138,Mudanza Genoveva,Tucumán s/n entre Ibanez y Talero Eduardo,NEUQUEN,NEUQUEN,NEUQUEN,-38.948806,-68.051833,A
ARNQ0268,QC052,Río Grande,obrero arg. s/n entre copahue y el chocon,NEUQUEN,NEUQUEN,NEUQUEN,-38.966028,-68.024694,B
ARNQ0282,QE004,Confluencia (TMA),Roca 1124 entre 0 y 0,NEUQUEN,NEUQUEN,NEUQUEN,-38.93778,-68.237913,B
